tracking_id	locus	nearest_ref_id	class_code	transcript_length	R1L1Kidney	R1L2Liver	R1L3Kidney	R1L4Liver	R1L6Liver	R1L7Kidney	R1L8Liver	R2L1Liver	R2L2Kidney	R2L3Liver	R2L4Kidney	R2L6Kidney	R2L7Liver	R2L8Kidney
TC_86	chr1:1940703-1952050	ENSG00000187730	KNOWN		1	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_87	chr1:1971769-2106692	ENSG00000067606	KNOWN		72	23	68	39	25	66	19	32	74	27	57	85	43	69
TC_88	chr1:2063064-2063829	ENSG00000205069	KNOWN		0	0	1	1	0	0	1	0	0	0	1	1	0	0
TC_89	chr1:2103093-2105174	ENSG00000182873	KNOWN		3	2	3	1	5	3	1	2	5	3	4	10	1	4
TC_90	chr1:2105777-2122397	ENSG00000162585	KNOWN		49	25	47	31	28	48	18	33	57	31	43	61	43	53
TC_91	chr1:2111097-2113039	ENSG00000186423	KNOWN		4	2	7	5	2	2	5	3	5	5	5	5	3	7
TC_92	chr1:2129205-2129272	ENSG00000215985	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_93	chr1:2134226-2134879	ENSG00000183472	KNOWN		0	1	0	1	2	0	0	2	0	1	0	1	1	0
TC_94	chr1:2149994-2229316	ENSG00000157933	KNOWN		63	35	59	30	29	65	27	30	72	41	61	66	41	61
TC_95	chr1:2242556-2346079	ENSG00000116151	KNOWN		13	2	10	1	0	5	6	1	10	3	10	12	1	11
TC_96	chr1:2306671-2309782	ENSG00000178642	NOVEL		11	2	7	3	2	7	4	1	4	2	9	12	2	5
TC_97	chr1:2313074-2326734	ENSG00000157916	KNOWN		340	339	315	330	346	339	331	309	401	382	310	367	352	297
TC_98	chr1:2326103-2333870	ENSG00000157911	KNOWN		100	108	99	102	121	108	125	94	148	128	92	148	119	106
TC_99	chr1:2397614-2426829	ENSG00000149527	KNOWN		15	8	8	6	5	15	7	5	12	8	16	19	5	23
TC_100	chr1:2429835-2447895	ENSG00000157881	KNOWN		43	20	46	20	18	50	21	19	44	20	44	44	29	42
TC_101	chr1:2450044-2451544	ENSG00000197921	KNOWN		0	0	0	0	2	2	0	0	0	1	0	0	3	0
TC_102	chr1:2478310-2478741	ENSG00000205049	KNOWN		0	1	0	1	1	1	0	0	0	0	1	1	1	0
TC_103	chr1:2479153-2486613	ENSG00000157873	KNOWN		88	54	105	68	64	83	61	52	105	64	127	131	64	97
TC_104	chr1:2508097-2512766	ENSG00000157870	KNOWN		56	25	50	14	13	66	21	14	82	17	71	58	9	56
TC_105	chr1:2511941-2554289	ENSG00000142606	KNOWN		11	5	5	4	1	6	4	2	14	1	6	9	2	10
TC_106	chr1:2562667-2566862	ENSG00000215913	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	1
TC_107	chr1:2690014-2694127	ENSG00000215912	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_108	chr1:2775209-2970210	ENSG00000177133	KNOWN		142	2	160	1	3	140	3	3	176	0	166	180	0	185
TC_109	chr1:2927906-2929325	ENSG00000169717	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_110	chr1:2970496-2974193	ENSG00000177121	KNOWN		85	0	84	1	0	60	1	2	89	0	93	98	0	75
TC_111	chr1:2975604-3345045	ENSG00000142611	KNOWN		47	2	37	2	3	44	1	2	45	4	51	54	0	48
TC_112	chr1:3361100-3387537	ENSG00000130762	KNOWN		58	3	60	1	8	51	2	6	61	1	55	56	3	59
TC_113	chr1:3394373-3517919	ENSG00000162591	KNOWN		29	20	20	38	23	16	26	20	27	26	26	21	31	26
TC_114	chr1:3467119-3467214	ENSG00000207776	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_115	chr1:3531416-3536549	ENSG00000158109	KNOWN		188	204	200	232	230	184	209	200	200	260	168	228	219	184
TC_116	chr1:3537191-3556517	ENSG00000116213	KNOWN		18	10	28	13	21	15	22	20	23	18	19	28	8	16
TC_117	chr1:3558989-3639716	ENSG00000078900	KNOWN		0	0	0	0	0	0	0	0	0	1	1	0	0	0
TC_118	chr1:3652025-3652627	ENSG00000187648	KNOWN		7	3	4	2	5	4	1	1	10	3	5	4	2	5
TC_119	chr1:3658822-3678069	ENSG00000162592	KNOWN		0	1	0	0	0	0	0	0	0	0	0	0	0	0
TC_120	chr1:3686644-3702928	ENSG00000130764	KNOWN		108	90	86	98	90	114	76	91	106	119	108	106	97	88
TC_121	chr1:3721204-3763657	ENSG00000116198	KNOWN		84	50	87	39	46	88	46	33	80	42	95	106	43	73
TC_122	chr1:3763705-3791853	ENSG00000169598	KNOWN		6	12	17	10	8	12	13	7	13	8	9	10	6	10
TC_123	chr1:3795563-3806709	ENSG00000198912	KNOWN		55	32	40	31	25	39	26	16	51	32	56	57	19	31
TC_124	chr1:4614965-4743711	ENSG00000196581	KNOWN		8	1	11	2	2	18	2	2	12	3	12	12	0	8
TC_125	chr1:5798518-5798606	ENSG00000216045	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_126	chr1:5845457-5975118	ENSG00000131697	KNOWN		22	10	17	12	9	24	4	10	25	5	18	23	13	19
TC_127	chr1:5974113-6083840	ENSG00000069424	KNOWN		93	17	67	25	23	72	17	33	84	23	82	81	22	71
TC_128	chr1:6084440-6162770	ENSG00000116254	KNOWN		4	0	4	2	0	6	2	1	4	0	1	5	0	6
TC_129	chr1:6167668-6182266	ENSG00000116251	KNOWN		315	140	308	158	164	330	144	115	358	174	272	364	132	251
TC_130	chr1:6188138-6203946	ENSG00000158286	KNOWN		55	24	61	30	25	61	23	35	66	38	73	65	31	53
TC_131	chr1:6203840-6218631	ENSG00000116237	KNOWN		176	60	164	68	53	148	51	32	173	52	146	184	42	163
TC_132	chr1:6220455-6222064	ENSG00000181563	KNOWN		0	2	1	0	2	1	0	1	1	0	0	2	1	0
TC_133	chr1:6226232-6228682	ENSG00000173673	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_134	chr1:6229993-6243622	ENSG00000158292	KNOWN		4	19	8	19	15	4	20	17	8	16	6	7	24	7
TC_135	chr1:6246920-6376413	ENSG00000097021	KNOWN		86	17	78	18	28	81	13	25	88	15	73	90	28	94
TC_136	chr1:6249419-6249879	ENSG00000204902	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_137	chr1:6395065-6407317	ENSG00000069812	KNOWN		0	0	2	0	0	0	0	0	0	0	0	0	0	0
TC_138	chr1:6407435-6443591	ENSG00000187017	KNOWN		102	138	84	137	112	83	131	178	108	146	108	107	173	102
TC_139	chr1:6443798-6448855	ENSG00000215788	KNOWN		16	5	7	5	9	13	9	5	7	7	16	20	6	12
TC_140	chr1:6448739-6502708	ENSG00000171680	KNOWN		22	5	18	8	6	22	3	4	27	10	27	21	8	30
TC_141	chr1:6507809-6537182	ENSG00000162408	KNOWN		40	17	33	20	22	43	19	25	38	26	31	39	21	37
TC_142	chr1:6523501-6523581	ENSG00000209367	NOVEL		0	0	0	0	0	0	0	1	0	0	0	0	0	0
TC_143	chr1:6538021-6562403	ENSG00000173662	KNOWN		0	1	0	0	0	0	0	0	0	0	0	0	0	0
TC_144	chr1:6562698-6571926	ENSG00000204859	KNOWN		26	32	42	38	42	30	29	40	35	36	24	35	38	37
TC_145	chr1:6573366-6585648	ENSG00000162413	KNOWN		146	70	145	74	67	146	60	66	148	80	148	161	75	147
TC_146	chr1:6596332-6606643	ENSG00000116273	KNOWN		50	22	40	16	21	37	30	15	52	19	36	41	25	41
TC_147	chr1:6607513-6618219	ENSG00000041988	KNOWN		21	12	21	13	14	14	21	8	27	13	20	32	14	10
TC_148	chr1:6616818-6684466	ENSG00000007923	KNOWN		246	100	203	100	88	234	94	107	278	125	234	278	95	242
TC_149	chr1:6767971-7752351	ENSG00000171735	KNOWN		85	19	92	19	16	108	15	20	82	12	63	88	12	60
TC_150	chr1:7032589-7034351	ENSG00000175861	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_151	chr1:7202007-7202171	ENSG00000207056	NOVEL		0	0	0	0	0	0	2	0	0	0	0	0	2	0
TC_152	chr1:7370049-7370483	ENSG00000204819	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_153	chr1:7753916-7770120	ENSG00000049245	KNOWN		146	56	135	56	64	143	50	41	155	56	107	154	40	120
TC_154	chr1:7766967-7827824	ENSG00000049246	KNOWN		94	100	126	111	93	85	86	69	131	99	101	119	73	85
TC_155	chr1:7825730-7836159	ENSG00000049247	KNOWN		0	0	1	0	0	0	0	0	0	0	0	0	0	0
TC_156	chr1:7901641-7902027	ENSG00000212677	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_157	chr1:7902495-7923474	ENSG00000049249	KNOWN		0	0	0	0	0	0	0	0	1	0	1	1	0	0
TC_158	chr1:7912926-7912995	ENSG00000209371	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_159	chr1:7944310-7967926	ENSG00000116288	KNOWN		364	214	395	229	198	394	171	160	481	208	380	474	195	344
TC_160	chr1:7965530-7965630	ENSG00000200344	NOVEL		0	0	0	0	0	0	0	0	1	0	0	0	0	1
TC_161	chr1:7994370-8008955	ENSG00000116285	KNOWN		115	1669	144	1753	1710	115	1675	1313	143	1794	91	153	1298	88
TC_162	chr1:8189081-8189244	ENSG00000200975	NOVEL		0	1	0	2	1	0	1	0	0	0	0	0	0	0
TC_163	chr1:8274810-8274910	ENSG00000209383	NOVEL		0	0	0	0	0	0	1	0	0	0	0	0	0	0
TC_164	chr1:8300756-8326804	ENSG00000162426	KNOWN		26	0	31	0	1	30	0	0	29	0	30	32	0	34
TC_165	chr1:8310714-8310824	ENSG00000206757	NOVEL		0	0	2	0	0	0	0	0	0	0	0	0	0	1
TC_166	chr1:8335053-8800286	ENSG00000142599	KNOWN		464	192	463	191	163	458	155	152	523	176	455	446	174	415
TC_167	chr1:8779220-8779313	ENSG00000209385	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_168	chr1:8843650-8861367	ENSG00000074800	KNOWN		1499	337	1528	311	336	1318	301	312	1546	343	1401	1551	342	1411
TC_169	chr1:8866073-8866177	ENSG00000201725	NOVEL		0	0	0	1	0	0	1	0	0	0	0	0	0	0
TC_170	chr1:8876155-8876427	ENSG00000183445	NOVEL		0	0	0	0	0	0	1	0	1	1	0	0	0	1
TC_171	chr1:8928509-8957733	ENSG00000131686	KNOWN		0	2	0	0	0	0	0	0	0	1	0	0	0	0
TC_172	chr1:8962224-8962520	ENSG00000212621	NOVEL		0	0	1	2	0	0	0	0	0	0	0	0	0	1
TC_173	chr1:8985946-9008991	ENSG00000197241	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_174	chr1:9019594-9052257	ENSG00000142583	KNOWN		13	0	16	0	1	14	0	0	24	1	17	20	1	17
TC_175	chr1:9065342-9065525	ENSG00000212602	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_176	chr1:9087063-9111837	ENSG00000180758	KNOWN		4	2	5	0	2	5	1	2	7	2	5	7	2	3
TC_177	chr1:9134314-9134423	ENSG00000207865	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_178	chr1:9159046-9164932	ENSG00000204772	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_179	chr1:9217450-9253983	ENSG00000049239	KNOWN		183	838	232	822	814	179	773	793	207	895	164	199	807	175
TC_180	chr1:9275571-9352175	ENSG00000171621	KNOWN		13	27	16	30	37	7	24	36	14	35	13	13	50	20
TC_181	chr1:9420354-9420424	ENSG00000209395	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_182	chr1:9522115-9565415	ENSG00000171612	KNOWN		20	20	22	21	23	19	24	16	25	15	26	31	15	17
TC_183	chr1:9571564-9595728	ENSG00000188807	KNOWN		1	0	5	0	1	9	0	2	3	0	5	5	0	6
TC_184	chr1:9634390-9943653	ENSG00000171608	KNOWN		16	14	30	18	14	20	14	16	22	19	21	26	30	20
TC_185	chr1:9635266-9637231	ENSG00000179840	KNOWN		0	0	1	1	1	0	1	0	0	1	0	3	0	0
TC_186	chr1:9711667-9807137	ENSG00000171603	KNOWN		533	68	576	44	51	556	62	62	635	81	580	581	48	549
TC_187	chr1:9810496-9810879	ENSG00000204749	KNOWN		0	0	0	0	0	0	0	0	0	0	1	0	0	0
TC_188	chr1:9830921-9892908	ENSG00000178585	KNOWN		90	38	75	36	32	82	32	27	84	31	76	72	31	82
TC_189	chr1:9911584-9926052	ENSG00000162441	KNOWN		32	24	57	28	25	53	14	18	73	23	47	68	16	39
TC_190	chr1:9926073-9968143	ENSG00000173614	KNOWN		60	21	38	26	22	52	24	22	50	22	45	44	18	38
TC_191	chr1:9929963-9930281	ENSG00000202415	NOVEL		1	0	0	1	0	0	1	0	0	1	0	0	0	0
TC_192	chr1:9979842-9998665	ENSG00000162444	KNOWN		26	6	32	4	7	24	4	3	26	4	16	22	7	20
TC_193	chr1:10015630-10163876	ENSG00000130939	KNOWN		167	85	161	74	77	127	74	84	158	108	125	175	80	143
TC_194	chr1:10145917-10146019	ENSG00000201746	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_195	chr1:10193418-10364248	ENSG00000054523	KNOWN		207	129	248	119	119	223	108	89	219	116	193	230	99	169
TC_196	chr1:10281611-10281717	ENSG00000199562	NOVEL		0	0	0	0	2	0	1	0	0	0	0	0	0	0
TC_197	chr1:10381668-10402788	ENSG00000142657	KNOWN		166	82	159	63	79	138	78	60	138	89	136	177	86	136
TC_198	chr1:10412746-10434797	ENSG00000175279	KNOWN		30	8	22	10	6	22	8	9	20	11	16	32	6	22
TC_199	chr1:10443192-10455200	ENSG00000160049	KNOWN		87	50	74	44	42	90	42	51	105	44	59	92	52	76
TC_200	chr1:10457590-10613400	ENSG00000142655	KNOWN		36	38	36	34	22	25	39	47	44	37	42	40	47	50
TC_201	chr1:10599480-10599759	ENSG00000209421	NOVEL		0	0	0	0	0	0	0	0	1	0	0	0	0	0
TC_202	chr1:10619267-10779294	ENSG00000130940	KNOWN		36	7	44	4	2	43	4	3	56	9	54	45	3	50
TC_203	chr1:10929120-10946877	ENSG00000175262	KNOWN		0	0	0	0	0	0	0	0	0	0	0	0	1	0
TC_204	chr1:10973429-10974441	ENSG00000215785	NOVEL		1	4	0	1	0	0	1	1	0	0	0	0	1	0
TC_205	chr1:10982508-10982589	ENSG00000207213	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_206	chr1:10995266-11008133	ENSG00000120948	KNOWN		152	138	181	131	122	176	108	101	179	120	159	178	95	133
TC_207	chr1:11008649-11029876	ENSG00000009724	KNOWN		10	162	12	145	132	10	139	132	9	174	6	9	160	6
TC_208	chr1:11037236-11042678	ENSG00000116649	KNOWN		37	37	32	42	43	44	40	49	54	47	42	47	50	53
TC_209	chr1:11049268-11082530	ENSG00000171824	KNOWN		104	44	108	51	49	111	60	56	86	56	94	118	50	70
TC_210	chr1:11089179-11245176	ENSG00000198793	KNOWN		204	113	198	133	119	174	119	110	226	124	186	224	102	164
TC_211	chr1:11134994-11135057	ENSG00000209426	NOVEL		0	0	0	0	0	1	0	0	0	0	0	0	0	0
TC_212	chr1:11171985-11178624	ENSG00000171819	KNOWN		0	2	2	1	1	1	1	3	0	2	2	0	0	0
TC_213	chr1:11208898-11209004	ENSG00000207451	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC_214	chr1:11255850-11277699	ENSG00000120942	KNOWN		11	4	3	3	4	2	2	5	11	2	9	7	6	4
TC_215	chr1:11461882-11520194	ENSG00000204624	KNOWN		3	0	0	0	0	0	0	0	3	0	0	1	0	0
TC_216	chr1:11631037-11637326	ENSG00000116661	KNOWN		43	11	18	8	12	30	8	12	42	4	42	30	8	42
TC_217	chr1:11637019-11645971	ENSG00000132879	KNOWN		102	30	78	32	24	76	22	39	113	25	100	96	32	82
TC_218	chr1:11646768-11656994	ENSG00000116663	KNOWN		6	8	6	3	6	1	9	5	4	9	7	12	10	8
TC_219	chr1:11657125-11674294	ENSG00000116670	KNOWN		24	34	33	25	20	26	15	18	33	27	37	23	28	31
TC_220	chr1:11674366-11703237	ENSG00000162490	KNOWN		1	0	0	0	1	0	0	2	3	0	0	2	0	1
TC_221	chr1:11718729-11733412	ENSG00000177674	KNOWN		75	9	53	15	7	62	9	17	74	9	47	56	17	63
TC_222	chr1:11749386-11760935	ENSG00000177553	KNOWN		0	0	0	0	1	0	0	0	1	0	0	0	0	0
TC_223	chr1:11754766-11772228	ENSG00000215910	KNOWN		5	4	18	3	5	7	1	4	15	6	11	13	2	13
TC_224	chr1:11768367-11788702	ENSG00000177000	KNOWN		130	29	146	28	34	108	28	24	134	33	122	130	31	104
TC_225	chr1:11782803-11909072	ENSG00000116685	KNOWN		34	29	30	28	22	24	17	30	33	28	36	29	28	40
TC_226	chr1:11788855-11825772	ENSG00000011021	KNOWN		21	3	16	3	4	15	6	5	6	2	13	13	7	15
TC_227	chr1:11828356-11830989	ENSG00000175206	KNOWN		2	2	4	0	3	3	3	2	4	2	2	4	2	8
TC_228	chr1:11840109-11841579	ENSG00000120937	KNOWN		0	0	0	1	0	0	0	1	1	0	0	0	0	0
TC_229	chr1:11890796-11890915	ENSG00000199347	KNOWN		8	0	5	2	1	2	2	1	2	2	1	6	1	2
TC_230	chr1:11892451-11892571	ENSG00000201801	NOVEL		0	0	0	0	0	0	0	0	0	0	0	0	0	0
