tracking_id	locus	nearest_ref_id	class_code	transcript_length	T1a	T1b	T2	T3	N1	N2
Gene_00042	chr1:15978269-15978367	NM_032341	c		0	0	0	1	0	0
Gene_00043	chr1:15986911-15986954	NM_006511	c		149	130	169	241	97	80
Gene_00044	chr1:15988184-15988286	-	-		55	81	87	59	125	18
Gene_00045	chr1:16011064-16011104	NM_015164	c		54	66	39	31	57	2
Gene_00046	chr1:16045080-16046270	NM_015164	c		1	1	3	0	0	0
Gene_00047	chr1:16247359-16247429	NM_015001	.		18	36	106	49	49	24
Gene_00048	chr1:16254619-16254927	NM_015001	c		30	3	65	39	40	93
Gene_00049	chr1:16254619-16254927	NM_015001	c		20	12	16	9	57	4
Gene_00050	chr1:16255147-16255242	NM_015001	c		0	0	0	0	0	1
Gene_00051	chr1:16719717-16719933	NM_001114600	e		282	362	2235	1335	1013	239
Gene_00052	chr1:16723105-16723294	NM_001114600	c		49	6	95	0	32	30
Gene_00053	chr1:16723957-16724148	NM_001114600	c		936	1414	3124	3228	1798	835
Gene_00054	chr1:16774566-16774634	NM_001145277	c		190	73	438	146	162	432
Gene_00055	chr1:19923555-19923595	NM_001032363	.		10	9	11	0	0	2
Gene_00056	chr1:19952929-19953095	NM_001032363	c		556	467	1486	1167	1722	504
Gene_00057	chr1:20235501-20235635	NM_015207	c		8	9	53	55	37	79
Gene_00058	chr1:20945205-20945295	NM_001785	c		36	26	163	118	81	40
Gene_00059	chr1:20971007-20971068	NM_032409	c		2	0	8	0	0	1
Gene_00060	chr1:20972058-20972101	NM_032409	c		0	0	0	0	0	1
Gene_00061	chr1:22417954-22418032	NM_001791	c		81	71	134	191	231	223
Gene_00062	chr1:22418905-22419140	NM_001791	c		321	250	3	0	0	0
Gene_00063	chr1:22419286-22419387	NM_001791	c		19	6	18	3	21	39
Gene_00064	chr1:24020217-24022523	NM_000975	c		0	0	0	0	0	1
Gene_00065	chr1:24020217-24022523	NM_000975	.		0	2	0	0	0	0
Gene_00066	chr1:24078304-24078344	NM_003198	c		8	27	41	7	5	6
Gene_00067	chr1:24078893-24078989	NM_003198	e		4211	3953	572	3659	5837	1625
Gene_00068	chr1:24082417-24082490	NM_003198	c		51	118	15	69	11	11
Gene_00069	chr1:24087105-24087750	NM_003198	c		50	35	0	5	0	1
Gene_00070	chr1:24112174-24112220	NM_020362	c		9	4	12	7	0	12
Gene_00071	chr1:24114049-24114358	NM_020362	c		41	21	122	103	0	17
Gene_00072	chr1:24286326-24286430	NM_017761	c		0	0	0	0	5	11
Gene_00073	chr1:24287450-24288289	NM_017761	c		4	2	12	46	19	26
Gene_00074	chr1:24287450-24288289	NM_017761	c		1	0	3	6	0	0
Gene_00075	chr1:24288563-24288807	NM_017761	c		8	4	19	0	20	4
Gene_00076	chr1:24859611-24859730	NM_013441	c		99	80	179	116	651	91
Gene_00077	chr1:24861688-24861745	NM_013441	c		1	1	0	1	0	1
Gene_00078	chr1:24862008-24862093	NM_013441	c		4	3	8	1	12	15
Gene_00079	chr1:24973157-24973274	NM_005839	.		36	46	78	51	74	38
Gene_00080	chr1:24975066-24976576	NM_005839	c		7	7	71	300	256	11
Gene_00081	chr1:24981355-24981559	NM_005839	c		13	7	15	13	14	4
Gene_00082	chr1:24996678-24996751	NM_005839	c		24	37	74	121	161	58
Gene_00083	chr1:24997888-24997929	NM_005839	c		168	187	401	200	695	254
Gene_00084	chr1:25168048-25168671	NM_013943	c		83	19	46	8	35	53
Gene_00085	chr1:25168048-25168671	NM_013943	c		209	190	269	69	184	167
Gene_00086	chr1:25666962-25688449	NM_014313	c		0	0	0	8	0	0
Gene_00087	chr1:25687148-25687229	NM_014313	.		243	196	288	614	385	196
Gene_00088	chr1:25817906-25817974	NM_018202	c		0	0	1	0	0	0
Gene_00089	chr1:25825085-25825130	NM_018202	c		318	324	27	292	0	2
Gene_00090	chr1:26449582-26449638	NR_026685	c		14	16	0	0	1	2
Gene_00091	chr1:26449833-26449911	NR_026685	c		0	2	3	0	11	4
Gene_00092	chr1:26606615-26607396	NM_031286	c		4	14	23	43	29	12
Gene_00093	chr1:26607615-26607804	NM_031286	c		1	0	1	0	0	3
Gene_00094	chr1:26644453-26652141	NM_001803	=		0	1	3	1	0	0
Gene_00095	chr1:26644453-26652141	NM_001803	c		244	106	558	395	574	458
Gene_00096	chr1:26798997-26799106	NM_005517	c		18	9	17	8	16	6
Gene_00097	chr1:26898743-26898783	NM_001006665	c		2	6	130	48	99	47
Gene_00098	chr1:27057666-27057865	NM_006015	c		33	6	95	8	27	25
Gene_00099	chr1:27057932-27058037	NM_006015	c		103	158	236	215	127	124
Gene_00100	chr1:27094327-27094369	NM_006015	c		0	0	1	0	0	1
Gene_00101	chr1:27105737-27105840	NM_006015	c		59	78	237	137	307	75
Gene_00102	chr1:27105960-27106007	NM_006015	c		1820	1035	5927	4794	3101	3417
Gene_00103	chr1:27106179-27106225	NM_006015	c		9	15	5	24	40	21
Gene_00104	chr1:27106917-27106957	NM_006015	c		115	92	208	66	149	72
Gene_00105	chr1:27107250-27107491	NM_006015	c		67	40	60	59	129	90
Gene_00106	chr1:27181324-27181416	NM_032283	c		1057	981	3004	3671	1332	818
Gene_00107	chr1:27633881-27633969	NM_015023	c		1	2	134	33	44	25
Gene_00108	chr1:28177747-28177830	NM_138558	c		2	0	7	3	8	6
Gene_00109	chr1:28564440-28564611	NM_178191	c		0	0	1	0	0	1
Gene_00110	chr1:28800075-28800316	NM_023923	c		11	6	6	1	14	9
Gene_00111	chr1:28858745-28858805	NM_001269	c		0	1	0	0	0	0
Gene_00112	chr1:28975128-28975593	NR_004407	=		20	35	143	78	73	33
Gene_00113	chr1:28975128-28975593	-	-		0	0	1	1	1	0
Gene_00114	chr1:29313960-29314410	NM_203342	c		55	46	211	49	43	21
Gene_00115	chr1:29319851-29319976	NM_203342	.		63	30	239	115	68	38
Gene_00116	chr1:29323726-29342251	NM_203342	.		56	52	108	23	46	62
Gene_00117	chr1:29323726-29342251	NM_203342	c		0	1	2	0	31	3
Gene_00118	chr1:29344758-29344908	NM_203342	c		15	10	273	109	13	15
Gene_00119	chr1:29359642-29359752	NM_203342	c		1	0	13	1	0	1
Gene_00120	chr1:29379692-29387001	NM_004437	e		122	151	160	85	76	51
Gene_00121	chr1:29391487-29391670	NM_203342	e		22	20	50	0	31	52
Gene_00122	chr1:29424348-29435938	NM_203342	c		39	36	374	181	96	116
Gene_00123	chr1:29438887-29438927	NM_203342	.		0	0	159	152	0	1
Gene_00124	chr1:29443596-29443656	NM_203342	c		36	24	4	2	0	10
Gene_00125	chr1:29443807-29444109	NM_203342	c		10	4	9	3	4	4
Gene_00126	chr1:29444230-29444815	NM_203342	c		2	0	6	2	0	3
Gene_00127	chr1:29444884-29444993	NM_203342	c		274	238	253	317	1240	436
Gene_00128	chr1:29445246-29445379	NM_203342	c		493	433	655	468	980	403
Gene_00129	chr1:29445477-29445630	NM_203342	c		1467	1051	869	240	1328	550
Gene_00130	chr1:29445798-29445954	NM_203342	c		10	8	17	2	10	14
Gene_00131	chr1:29446146-29446232	NM_203342	c		1089	907	8655	6321	2424	1666
Gene_00132	chr1:31819490-31837023	NM_016505	c		183	270	271	244	343	88
Gene_00133	chr1:31837215-31837285	NM_016505	c		24	29	55	44	61	47
Gene_00134	chr1:31902326-31902366	NM_178865	c		54	70	770	226	61	41
Gene_00135	chr1:32498789-32498872	NM_006559	c		114	84	241	33	39	63
Gene_00136	chr1:32508642-32508771	NM_006559	c		15	11	53	27	50	10
Gene_00137	chr1:32508901-32509324	NM_006559	c		256	180	146	276	521	210
Gene_00138	chr1:32508901-32509324	NM_006559	c		1	1	0	0	0	0
Gene_00139	chr1:32625013-32625088	NM_012316	c		3	2	5	0	0	1
Gene_00140	chr1:32638298-32638607	NM_012316	c		4	4	0	19	6	3
Gene_00141	chr1:32638298-32638607	NM_012316	c		12	10	66	12	13	19
Gene_00142	chr1:32638703-32638752	NM_012316	c		99	102	1	45	596	49
Gene_00143	chr1:32662053-32662188	NM_175852	c		0	1	2	1	0	5
Gene_00144	chr1:32768222-32768407	NM_004964	c		21	18	136	128	41	24
Gene_00145	chr1:32790112-32790152	NM_004964	c		78	113	405	218	164	168
Gene_00146	chr1:32794670-32794719	NM_004964	.		2	0	3	0	0	1
Gene_00147	chr1:32797095-32797140	NM_004964	.		2	3	1	0	0	1
Gene_00148	chr1:32797753-32797800	NM_004964	c		0	2	1	0	0	5
Gene_00149	chr1:32798639-32798679	NM_004964	c		0	1	7	3	2	2
Gene_00150	chr1:32798879-32798926	NM_004964	c		6545	5360	1442	3782	2771	185
Gene_00151	chr1:33133881-33133952	NM_001135255	c		213	85	79	53	158	100
Gene_00152	chr1:33146152-33146254	NM_001135255	c		1	0	0	0	0	0
Gene_00153	chr1:33147008-33147226	NM_001135255	c		415	619	160	422	858	67
Gene_00154	chr1:33147372-33147412	NM_001135255	c		78	102	397	207	108	93
Gene_00155	chr1:33147524-33147843	NM_001135255	c		2	1	5	0	2	0
Gene_00156	chr1:33747315-33747391	NM_152493	c		4	7	279	7	0	7
Gene_00157	chr1:35824524-35824614	NM_005095	c		0	0	3	0	3	0
Gene_00158	chr1:35836091-35836192	NM_005095	c		6	9	12	34	19	6
Gene_00159	chr1:35854552-35854606	NM_005095	c		1	5	3	3	0	3
Gene_00160	chr1:35854619-35855687	NM_005095	c		208	202	215	393	188	335
Gene_00161	chr1:35858245-35859341	NM_005095	.		142	63	210	326	0	8
Gene_00162	chr1:36385323-36385460	NM_012199	c		38	13	53	80	15	50
Gene_00163	chr1:36386047-36386206	NM_012199	c		20	14	13	42	21	11
Gene_00164	chr1:36386993-36387033	NM_012199	c		100	50	193	21	89	124
Gene_00165	chr1:36475094-36475134	NM_024852	c		0	0	0	1	8	1
Gene_00166	chr1:36479235-36479335	NM_024852	c		10	8	11	21	41	34
Gene_00167	chr1:36479552-36479595	NM_024852	c		1	1	7	13	3	3
Gene_00168	chr1:36715279-36725088	NM_005119	o		0	2	2	1	4	0
Gene_00169	chr1:36751965-36752204	NM_005119	c		1	12	0	3	0	0
Gene_00170	chr1:36752827-36752873	NM_005119	.		207	311	876	1389	1553	476
Gene_00171	chr1:36754652-36754694	NM_005119	e		1	0	1	27	1	1
Gene_00172	chr1:36754928-36755046	NM_005119	c		141	133	342	573	497	301
Gene_00173	chr1:36766498-36766561	NM_005119	.		0	0	2	0	0	0
Gene_00174	chr1:36767169-36767230	NM_005119	c		108	134	212	24	247	67
Gene_00175	chr1:36770337-36770377	NM_005119	c		2	0	1	23	8	2
Gene_00176	chr1:38158603-38158706	NM_018101	e		1	0	0	0	0	3
Gene_00177	chr1:38484994-38485044	NM_016037	c		0	0	1	0	0	0
Gene_00178	chr1:39469892-39469948	NM_024595	c		4	0	1	5	6	0
Gene_00179	chr1:39470054-39470472	NM_024595	c		125	92	610	366	160	53
Gene_00180	chr1:39471040-39471089	NM_024595	c		15	23	27	9	14	13
Gene_00181	chr1:39500073-39500162	NM_004552	.		6	6	5	12	9	5
Gene_00182	chr1:39798544-39798663	NM_033044	c		12	16	19	57	26	31
Gene_00183	chr1:39800311-39800819	NM_033044	c		195	147	258	49	174	115
Gene_00184	chr1:39816626-39816666	NM_012090	c		82	84	1421	390	567	252
Gene_00185	chr1:39823287-39823381	NM_012090	c		9	12	16	10	27	13
Gene_00186	chr1:39853825-39854323	NM_012090	c		66	67	79	41	102	68
Gene_00187	chr1:39888055-39888157	NM_012090	c		88	34	87	14	93	43
Gene_00188	chr1:39896487-39896582	NM_012090	.		8	10	30	4	0	17
Gene_00189	chr1:39951360-39951523	NM_012090	c		19	5	38	35	77	62
Gene_00190	chr1:40525786-40529929	NM_006367	c		50	20	2	0	2	8
Gene_00191	chr1:40529933-40530006	NM_006367	c		47	22	88	33	38	14
Gene_00192	chr1:40530155-40530210	NM_006367	.		0	1	1	1	0	0
Gene_00193	chr1:40531927-40531975	NM_006367	c		13	2	20	3	4	5
Gene_00194	chr1:40533227-40535514	NM_006367	c		49	25	20	2	0	12
Gene_00195	chr1:40533227-40535514	NM_006367	c		0	0	3	14	0	2
Gene_00196	chr1:40536131-40536180	NM_006367	c		0	0	29	24	0	1
Gene_00197	chr1:40537857-40538070	NM_006367	c		1	2	6	0	8	2
Gene_00198	chr1:40538216-40538291	NM_006367	c		312	204	325	339	869	371
Gene_00199	chr1:40723812-40723865	NM_005857	c		157	109	332	61	156	99
Gene_00200	chr1:40887716-40887872	NM_022733	c		5	10	0	27	9	19
Gene_00201	chr1:40888521-40888883	NM_022733	c		78	55	171	71	56	86
Gene_00202	chr1:40955241-40955283	NM_198494	c		2	2	7	4	3	2
Gene_00203	chr1:43149037-43149118	NM_004559	e		716	1114	2215	1152	2519	445
Gene_00204	chr1:43161864-43162611	NM_004559	e		95	106	192	207	201	100
Gene_00205	chr1:44133624-44133664	NM_014663	c		153	65	182	546	120	347
Gene_00206	chr1:45101710-45101776	NM_018150	c		223	283	661	311	513	221
Gene_00207	chr1:45243301-45243457	NM_001012	c		464	346	482	289	474	340
Gene_00208	chr1:45243727-45244571	NM_001012	c		16	19	27	22	25	39
Gene_00209	chr1:46067947-46073190	NM_002482	c		29	11	72	37	70	50
Gene_00210	chr1:46067947-46073190	NM_002482	c		0	0	9	0	0	0
Gene_00211	chr1:46079962-46080003	NM_002482	e		199	143	181	80	327	125
Gene_00212	chr1:46080776-46081116	NM_002482	c		0	0	3	0	0	1
Gene_00213	chr1:46500540-46500580	NM_015112	c		0	0	2	0	0	0
Gene_00214	chr1:46828806-46828882	NM_199044	c		3	2	0	2	0	3
Gene_00215	chr1:46828945-46828994	NM_199044	c		104	114	504	44	69	76
Gene_00216	chr1:47827697-47842284	NM_016308	.		15	12	44	80	45	21
Gene_00217	chr1:47843464-47843645	NM_016308	c		563	450	1009	1261	1496	439
Gene_00218	chr1:50200959-50213651	-	-		0	0	1	0	0	0
Gene_00219	chr1:50200959-50213651	-	-		12438	12100	86	3126	9481	1259
Gene_00220	chr1:50200959-50213651	-	-		43	47	3	17	49	44
Gene_00221	chr1:50200959-50213651	-	-		24	10	20	4	11	43
Gene_00222	chr1:51718474-51736994	NM_014372	.		0	0	2	48	0	0
Gene_00223	chr1:51737134-51738195	NM_014372	c		45	32	79	25	10	71
Gene_00224	chr1:51737134-51738195	NM_014372	c		282	323	600	710	559	348
Gene_00225	chr1:51737134-51738195	NM_014372	c		211	191	65	65	291	155
Gene_00226	chr1:51737134-51738195	NM_014372	c		140	162	647	103	393	156
Gene_00227	chr1:51738250-51738555	NM_014372	c		2	4	1	0	0	0
Gene_00228	chr1:52253059-52253549	NM_148904	c		73	49	147	249	214	54
Gene_00229	chr1:52253729-52253864	NM_148904	c		73	62	339	167	272	195
Gene_00230	chr1:52552447-52552487	NR_024350	c		69	58	21	77	55	55
Gene_00231	chr1:52552984-52553198	NR_024350	c		145	81	33	22	46	92
Gene_00232	chr1:52704802-52704874	NM_004799	c		28	30	5	14	74	15
Gene_00233	chr1:52882998-52883597	NM_032864	c		11	7	68	15	85	36
Gene_00234	chr1:52882998-52883597	NM_032864	c		23	21	6	78	0	3
Gene_00235	chr1:53480633-53480708	NM_001007250	c		1204	1208	328	94	597	139
Gene_00236	chr1:53504589-53516316	NM_001007100	.		2	0	11	0	0	1
Gene_00237	chr1:54520063-54520163	NM_153035	c		512	304	413	284	149	144
Gene_00238	chr1:54534431-54534476	NM_153035	c		2450	2078	6493	8718	5298	6354
Gene_00239	chr1:54562411-54562461	NM_153035	c		105	67	115	162	118	94
Gene_00240	chr1:54563036-54563282	NM_153035	c		234	176	259	148	110	65
Gene_00241	chr1:54563357-54563600	NM_153035	c		12	11	45	54	23	20
Gene_00242	chr1:55183164-55183204	NM_004623	o		11	7	13	2	10	1
Gene_00243	chr1:59658358-59661149	-	-		68	45	54	124	229	111
Gene_00244	chr1:60341400-60341490	NM_015888	c		238	369	230	364	565	140
Gene_00245	chr1:60341573-60341613	NM_015888	c		3	8	41	3	21	5
Gene_00246	chr1:61548333-61548452	NM_005595	c		19	21	12	15	32	42
Gene_00247	chr1:61553852-61553892	NM_001145512	c		24	8	11	9	2	16
Gene_00248	chr1:61922359-61922405	NM_001145512	c		20	10	88	19	14	12
Gene_00249	chr1:61922528-61922593	NM_001145512	c		0	0	6	0	0	0
Gene_00250	chr1:62910407-62935332	NM_001017415	c		3	1	3	2	0	0
Gene_00251	chr1:64014717-64014926	NR_002771	c		7	2	23	1	17	5
Gene_00252	chr1:64034071-64034163	NM_032437	c		2	0	8	0	0	3
Gene_00253	chr1:65247111-65247151	NM_018211	c		0	0	19	5	1	0
Gene_00254	chr1:65854015-65854070	NM_014787	e		16	7	179	24	22	38
Gene_00255	chr1:65899252-65899325	NM_017526	c		56	41	193	392	226	62
Gene_00256	chr1:66070724-66070764	NM_001003680	c		182	122	572	373	617	304
Gene_00257	chr1:66838948-66839014	NM_001037339	c		17	11	33	6	6	1
Gene_00258	chr1:66839179-66839331	NM_001037339	c		0	0	1	0	0	4
Gene_00259	chr1:67423737-67423899	NM_020948	.		1	2	0	9	3	0
Gene_00260	chr1:67436486-67436643	NM_020948	c		78	102	840	193	380	117
Gene_00261	chr1:67447459-67450399	NM_020948	c		17	12	39	49	55	20
Gene_00262	chr1:67447459-67450399	NM_020948	c		1	1	11	0	7	6
Gene_00263	chr1:67450456-67450497	NM_020948	c		2	2	3	0	0	0
Gene_00264	chr1:67453027-67453080	NM_020948	c		69	44	50	28	97	118
Gene_00265	chr1:68153407-68153832	NM_001924	c		117	86	204	297	185	59
Gene_00266	chr1:70710386-70710488	NM_004768	c		7	5	7	70	1	17
Gene_00267	chr1:70715660-70715703	NM_004768	c		0	0	0	1	0	1
Gene_00268	chr1:70716111-70716155	NM_004768	c		107	106	320	121	338	130
Gene_00269	chr1:70716409-70716522	NM_004768	c		1	0	6	1	0	1
Gene_00270	chr1:74671000-74671146	NM_003838	c		84	98	181	50	262	154
Gene_00271	chr1:76226823-76226914	NM_001127328	c		4	0	25	156	7	20
Gene_00272	chr1:76257091-76257987	NM_004582	e		17	2	14	0	0	23
Gene_00273	chr1:78383816-78394902	NM_001172309	j		37	35	45	66	14	14
Gene_00274	chr1:78383816-78394902	NM_001172309	c		17	9	0	0	0	0
Gene_00275	chr1:78395053-78395189	NM_001172309	o		144	115	844	503	369	222
Gene_00276	chr1:78399071-78408283	NM_001172309	o		149	113	262	240	412	150
Gene_00277	chr1:78399071-78408283	NM_001172309	c		193	57	111	56	155	201
Gene_00278	chr1:78478944-78478984	NM_007034	c		0	0	3	0	1	2
Gene_00279	chr1:79108028-79108143	NM_006820	c		84	66	124	91	180	71
Gene_00280	chr1:79109218-79109262	NM_006820	c		70	47	65	64	35	42
Gene_00281	chr1:79110458-79110607	NM_006820	c		281	94	2	8	0	5
Gene_00282	chr1:79115981-79116133	NM_006417	c		7	5	89	43	15	20
Gene_00283	chr1:84610077-84610203	NM_182948	c		2386	2037	6339	8582	5115	6238
Gene_00284	chr1:84663432-84663504	NM_207578	c		102	73	302	132	115	174
Gene_00285	chr1:84668375-84668437	NM_207578	c		6	12	1	1	10	12
Gene_00286	chr1:84701161-84701403	NM_002731	c		259	295	235	544	202	112
Gene_00287	chr1:84701593-84701723	NM_002731	c		62	66	204	300	205	71
Gene_00288	chr1:84702424-84702540	NM_002731	c		1102	1176	3502	5600	4568	1139
Gene_00289	chr1:84702645-84702685	NM_002731	c		25	14	42	4	2	6
Gene_00290	chr1:84703507-84703697	NM_002731	c		0	0	0	0	0	1
Gene_00291	chr1:84703758-84703906	NM_002731	c		16	0	29	0	0	1
Gene_00292	chr1:84948629-84956155	NM_025065	e		38	21	7	0	43	34
Gene_00293	chr1:86046576-86046629	NM_001554	c		26	20	29	0	23	7
Gene_00294	chr1:87185277-87185323	NM_016009	e		0	0	0	8	1	0
Gene_00295	chr1:87188240-87188305	NM_016009	c		112	146	494	342	252	279
Gene_00296	chr1:87190034-87190074	NM_016009	c		6	1	67	10	9	11
Gene_00297	chr1:87200289-87200373	NM_016009	c		28	21	166	33	18	9
Gene_00298	chr1:87210107-87210375	NM_016009	c		680	611	784	440	1657	797
Gene_00299	chr1:87210774-87211200	NM_016009	c		174	115	84	145	263	54
Gene_00300	chr1:87633936-87634009	NR_026989	c		32	18	64	28	33	29
Gene_00301	chr1:89237438-89237485	NM_006256	c		0	0	3	4	0	14
Gene_00302	chr1:89270163-89270307	NM_006256	c		26	17	47	26	45	59
Gene_00303	chr1:90399982-90400027	NM_001134479	c		3	0	0	0	1	30
Gene_00304	chr1:90400691-90400732	NM_001134479	c		4	1	8	0	0	9
Gene_00305	chr1:90475661-90478727	NM_182976	c		0	0	0	1	0	0
Gene_00306	chr1:90484240-90493232	NM_182976	e		0	1	0	0	0	0
Gene_00307	chr1:90484240-90493232	NM_182976	c		54	64	79	21	58	41
Gene_00308	chr1:92789010-92789106	NM_024813	c		954	850	2097	1026	1342	959
Gene_00309	chr1:92789163-92789355	NM_024813	c		4	0	3	4	0	2
Gene_00310	chr1:93039926-93073280	-	-		6	6	13	3	10	9
Gene_00311	chr1:93298955-93299217	NM_000969	e		487	221	265	39	380	279
Gene_00312	chr1:93300333-93300461	NM_000969	e		151	157	183	341	274	101
Gene_00313	chr1:93301756-93303189	NM_000969	.		39	28	211	80	254	76
Gene_00314	chr1:93301756-93303189	NM_000969	c		0	0	0	3	2	1
Gene_00315	chr1:93307323-93307400	NM_000969	.		2	1	0	0	0	0
Gene_00316	chr1:93662532-93680400	NM_206886	.		53	34	252	80	85	29
Gene_00317	chr1:93662532-93680400	NM_206886	c		25	48	6	37	0	0
Gene_00318	chr1:93662532-93680400	NM_206886	j		7	1	9	14	8	8
Gene_00319	chr1:93698041-93698136	NM_206886	.		20	1	39	0	5	4
Gene_00320	chr1:93701842-93705012	NM_206886	c		17	17	1	15	31	0
Gene_00321	chr1:93812294-93812334	NM_001938	c		41	7	43	146	66	57
Gene_00322	chr1:94939318-94940762	NM_001122674	.		8	10	42	21	15	14
Gene_00323	chr1:95609462-95609515	NM_152487	.		91	68	258	164	44	54
Gene_00324	chr1:95710163-95710291	NM_001128142	c		86	54	82	56	318	158
Gene_00325	chr1:97236289-97236351	NM_021190	c		6	8	7	3	0	1
Gene_00326	chr1:100155182-100155312	NM_017734	c		175	140	467	233	241	412
Gene_00327	chr1:100357158-100357213	NM_000646	.		208	215	110	568	474	92
Gene_00328	chr1:100387372-100387412	NM_000646	c		48	30	244	177	246	82
Gene_00329	chr1:100388345-100388387	NM_000646	c		11	6	9	28	3	3
Gene_00330	chr1:100598782-100598870	NM_019083	c		0	0	2	0	0	0
Gene_00331	chr1:100733736-100733797	NM_001130841	c		148	99	1046	473	390	218
Gene_00332	chr1:100741167-100741242	NM_001130841	c		7	5	93	28	44	27
Gene_00333	chr1:100757765-100757826	NM_001130841	c		1	0	0	1	0	1
Gene_00334	chr1:101705813-101705853	NM_001400	c		1	0	38	109	104	17
Gene_00335	chr1:101706275-101706327	NM_001400	c		112	53	36	1	43	19
Gene_00336	chr1:101706453-101706494	NM_001400	c		69	77	230	63	239	91
Gene_00337	chr1:104113919-104113959	NR_024438	c		0	0	0	0	0	8
Gene_00338	chr1:109241192-109241444	NM_018061	c		0	0	0	0	0	1
Gene_00339	chr1:109241896-109242606	NM_018061	c		60	25	10	5	22	50
Gene_00340	chr1:109243488-109243535	NM_018061	c		369	416	1138	650	577	233
Gene_00341	chr1:109289336-109294943	NM_007269	c		74	64	139	100	142	140
Gene_00342	chr1:109472672-109472844	NM_013296	c		0	0	2	0	0	0
Gene_00343	chr1:109637671-109637909	NM_020141	c		0	0	103	0	0	0
Gene_00344	chr1:109639336-109639515	NM_020141	c		17	15	23	38	28	6
Gene_00345	chr1:109735253-109735315	NM_020775	c		6	6	15	6	12	4
Gene_00346	chr1:109756571-109766653	NM_006513	.		2	2	12	4	2	10
Gene_00347	chr1:109770990-109771036	NM_006513	c		401	405	1734	1917	1663	643
Gene_00348	chr1:109777857-109777897	NM_006513	c		9	11	45	16	39	19
Gene_00349	chr1:110121887-110121971	NM_006496	.		68	68	156	78	116	94
Gene_00350	chr1:110128848-110129056	NM_006496	c		0	0	0	6	0	0
Gene_00351	chr1:110135001-110135291	NM_006496	c		109	97	119	53	70	85
Gene_00352	chr1:110135001-110135291	NM_006496	c		117	80	223	192	203	132
Gene_00353	chr1:110558052-110558149	NM_006621	c		20	6	12	7	16	43
